#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 02 24 16 50 175  8.5 10.0  1.84 19.05  6.46 250 1020.2  13.8  13.7 999.0 99.0 99.00
2010 02 24 17 50 182  7.5  9.0  2.26 19.05  7.27 267 1020.4  13.9  13.7 999.0 99.0 99.00
2010 02 24 18 50 191  6.6  8.0  2.27 19.05  7.09 278 1020.4  14.0  13.7 999.0 99.0 99.00
2010 02 24 19 50 210  5.2  6.3  2.45 19.05  7.56 284 1020.3  14.1  13.9 999.0 99.0 99.00
2010 02 24 20 50 264  5.8  7.4  2.82 19.05  8.09 281 1019.9  13.9  13.9 999.0 99.0 99.00
2010 02 24 21 50 311  4.4  5.8  3.00 17.39  8.16 283 1019.7  13.1  13.9 999.0 99.0 99.00
2010 02 24 22 50 297  4.8  5.9  2.86 17.39  8.06 275 1019.9  12.8  14.1 999.0 99.0 99.00
2010 02 24 23 50 321  5.0  6.7  2.69 17.39  7.79 290 1020.1  12.6  14.1 999.0 99.0 99.00
2010 02 25 00 50 307  4.7  6.7  2.61 17.39  8.17 277 1020.1  12.8  14.1 999.0 99.0 99.00
2010 02 25 01 50 316  4.3  5.9  2.77 17.39  8.68 283 1019.8  12.6  14.1 999.0 99.0 99.00
2010 02 25 02 50 315  6.4  8.0  2.88 17.39  9.31 284 1020.3  13.0  14.1 999.0 99.0 99.00
2010 02 25 03 50 320  7.4  9.8  2.97 17.39  9.46 289 1021.1  12.9  14.1 999.0 99.0 99.00
2010 02 25 04 50 326  6.3  8.4  3.16 16.00  9.86 282 1021.5  13.0  14.1 999.0 99.0 99.00
2010 02 25 05 50 323  5.9  7.4  3.19 16.00 10.11 291 1021.5  13.0  14.1 999.0 99.0 99.00
2010 02 25 06 50 328  7.6  9.8  3.05 16.00  9.46 288 1021.8  13.0  14.1 999.0 99.0 99.00
2010 02 25 07 50 342  6.8  8.1  2.85 16.00  8.97 288 1021.8  13.1  14.0 999.0 99.0 99.00
2010 02 25 08 50 335  6.2  8.1  2.74 16.00  8.59 291 1022.2  13.0  14.0 999.0 99.0 99.00
2010 02 25 09 50 328  5.8  7.0  2.96 16.00  9.42 292 1022.0  13.0  14.0 999.0 99.0 99.00
2010 02 25 10 50 324  6.2  7.4  2.80 14.81  8.90 288 1021.3  13.0  14.0 999.0 99.0 99.00
2010 02 25 11 50 329  6.8  8.2  3.05 14.81  9.08 275 1021.4  12.9  13.9 999.0 99.0 99.00
2010 02 25 12 50 334  6.0  7.6  2.98 16.00  8.97 298 1021.7  12.9  13.9 999.0 99.0 99.00
2010 02 25 13 50 332  6.3  7.5  2.83 14.81  8.80 288 1022.1  13.0  13.7 999.0 99.0 99.00
2010 02 25 14 50 341  5.6  6.9  3.22 16.00  9.57 292 1022.2  12.8  13.7 999.0 99.0 99.00
2010 02 25 15 50 341  5.3  6.5  2.95 14.81  9.32 293 1022.6  13.0  13.6 999.0 99.0 99.00
2010 02 25 16 50 336  4.1  5.1  2.77 14.81  8.65 291 1022.8  13.2  13.7 999.0 99.0 99.00
2010 02 25 17 50 327  4.1  5.2  2.96 14.81  9.41 287 1023.2  13.5  13.7 999.0 99.0 99.00
2010 02 25 18 50 309  5.5  6.6  2.80 13.79  9.07 291 1023.2  13.6  13.7 999.0 99.0 99.00
2010 02 25 19 50 307  6.2  7.2  2.43 13.79  8.34 278 1022.8  13.5  13.8 999.0 99.0 99.00
2010 02 25 20 50 305  7.3  8.6  2.34 13.79  8.40 295 1021.7  13.3  13.8 999.0 99.0 99.00
2010 02 25 21 50 302  7.3  8.7  2.45 12.90  8.26 286 1021.2  13.5  13.8 999.0 99.0 99.00
2010 02 25 22 50 302  7.8  9.3  2.52 13.79  8.47 287 1020.9  13.7  13.8 999.0 99.0 99.00
2010 02 25 23 50 303  8.3  9.7  2.35 12.12  7.99 275 1020.7  13.7  13.8 999.0 99.0 99.00
2010 02 26 00 50 318  9.3 11.1  2.41 13.79  7.71 284 1020.3  13.5  13.8 999.0 99.0 99.00
2010 02 26 01 50 314  9.1 10.9  2.50 12.90  7.55 283 1020.3  13.4  13.7 999.0 99.0 99.00
2010 02 26 02 50 332  7.3  8.8  2.47 12.90  7.56 283 1020.2  13.5  13.7 999.0 99.0 99.00
